dataName,classifier,percent,score,OmniScore,Type1-A/A/Good,Type2-A/B/Bad,Type3-A/B/Good,Type4-A/A/Bad
2013,baseline,0.10255643593960233,1372.0,13378,2855.0,0.0,0.0,3654.0
2013,"RandomForestClassifier, max_depth None, criterion gini, max_features auto",0.5087457018986395,6806.0,13378,203.59999999999999,295.39999999999998,81.900000000000006,70.0
2013,"RandomForestClassifier, max_depth 5.0, criterion entropy, max_features 11",0.41097323964718196,5498.0,13378,197.59999999999999,270.0,87.900000000000006,95.400000000000006
2013,"RandomForestClassifier, max_depth 6.0, criterion entropy, max_features 11",0.5195096426969652,6950.0,13378,203.5,298.10000000000002,82.0,67.299999999999997
2013,"RandomForestClassifier, max_depth 7.0, criterion entropy, max_features 11",0.5526984601584691,7394.0,13378,210.59999999999999,301.19999999999999,74.900000000000006,64.200000000000003
2013,"RandomForestClassifier, max_depth 8.0, criterion entropy, max_features 11",0.5589774256241591,7478.0,13378,213.09999999999999,301.0,72.400000000000006,64.400000000000006
2013,"RandomForestClassifier, max_depth 9.0, criterion entropy, max_features 11",0.5622664075347585,7522.0,13378,213.90000000000001,301.69999999999999,71.599999999999994,63.700000000000003
2013,"RandomForestClassifier, max_depth 10.0, criterion entropy, max_features 11",0.5622664075347585,7522.0,13378,214.19999999999999,301.5,71.299999999999997,63.899999999999999
2013,"RandomForestClassifier, max_depth 11.0, criterion entropy, max_features 11",0.5630139034235312,7532.0,13378,214.0,301.89999999999998,71.5,63.5
2013,"RandomForestClassifier, max_depth 12.0, criterion entropy, max_features 11",0.5642098968455673,7548.0,13378,213.19999999999999,303.89999999999998,72.299999999999997,61.5
2013,"RandomForestClassifier, max_depth 13.0, criterion entropy, max_features 11",0.5597249215129316,7488.0,13378,213.69999999999999,301.30000000000001,71.799999999999997,64.099999999999994
2014,baseline,0.0628374677204789,803.0,12779,2634.0,0.0,0.0,3610.0
2014,"RandomForestClassifier, max_depth None, criterion gini, max_features auto",0.5257844901792003,6719.0,12779,191.40000000000001,291.60000000000002,72.0,69.400000000000006
2014,"RandomForestClassifier, max_depth 5.0, criterion entropy, max_features 11",0.49229204163080054,6291.0,12779,182.5,289.69999999999999,80.900000000000006,71.299999999999997
2014,"RandomForestClassifier, max_depth 6.0, criterion entropy, max_features 11",0.5287581187886377,6757.0,12779,192.40000000000001,291.80000000000001,71.0,69.200000000000003
2014,"RandomForestClassifier, max_depth 7.0, criterion entropy, max_features 11",0.5494170122857813,7021.0,12779,193.69999999999999,297.10000000000002,69.700000000000003,63.899999999999999
2014,"RandomForestClassifier, max_depth 8.0, criterion entropy, max_features 11",0.5564598168870803,7111.0,12779,196.09999999999999,297.5,67.299999999999997,63.5
2014,"RandomForestClassifier, max_depth 9.0, criterion entropy, max_features 11",0.5680413177869943,7259.0,12779,197.40000000000001,300.10000000000002,66.0,60.899999999999999
2014,"RandomForestClassifier, max_depth 10.0, criterion entropy, max_features 11",0.579779325455826,7409.0,12779,199.40000000000001,301.19999999999999,64.0,59.799999999999997
2014,"RandomForestClassifier, max_depth 11.0, criterion entropy, max_features 11",0.5786837780734017,7395.0,12779,199.80000000000001,300.30000000000001,63.600000000000001,60.700000000000003
2014,"RandomForestClassifier, max_depth 12.0, criterion entropy, max_features 11",0.5741450817747867,7337.0,12779,199.09999999999999,299.89999999999998,64.299999999999997,61.100000000000001
2014,"RandomForestClassifier, max_depth 13.0, criterion entropy, max_features 11",0.5833789811409343,7455.0,12779,199.59999999999999,302.10000000000002,63.799999999999997,58.899999999999999
2015,baseline,0.040725105537621056,328.0,8054,1621.0,0.0,0.0,2342.0
2015,"RandomForestClassifier, max_depth None, criterion gini, max_features auto",0.5204867146759374,4192.0,8054,116.90000000000001,190.0,45.200000000000003,44.200000000000003
2015,"RandomForestClassifier, max_depth 5.0, criterion entropy, max_features 11",0.5145269431338465,4144.0,8054,113.59999999999999,191.0,48.5,43.200000000000003
2015,"RandomForestClassifier, max_depth 6.0, criterion entropy, max_features 11",0.5445741246585547,4386.0,8054,119.40000000000001,190.90000000000001,42.700000000000003,43.299999999999997
2015,"RandomForestClassifier, max_depth 7.0, criterion entropy, max_features 11",0.5624534392848274,4530.0,8054,120.3,193.0,41.799999999999997,41.200000000000003
2015,"RandomForestClassifier, max_depth 8.0, criterion entropy, max_features 11",0.5823193444251303,4690.0,8054,122.59999999999999,194.40000000000001,39.5,39.799999999999997
2015,"RandomForestClassifier, max_depth 9.0, criterion entropy, max_features 11",0.5835609634963993,4700.0,8054,123.40000000000001,194.09999999999999,38.700000000000003,40.100000000000001
2015,"RandomForestClassifier, max_depth 10.0, criterion entropy, max_features 11",0.5835609634963993,4700.0,8054,123.0,194.90000000000001,39.100000000000001,39.299999999999997
2015,"RandomForestClassifier, max_depth 11.0, criterion entropy, max_features 11",0.5830643158678918,4696.0,8054,122.59999999999999,195.40000000000001,39.5,38.799999999999997
2015,"RandomForestClassifier, max_depth 12.0, criterion entropy, max_features 11",0.5877824683387137,4734.0,8054,123.90000000000001,195.30000000000001,38.200000000000003,38.899999999999999
2015,"RandomForestClassifier, max_depth 13.0, criterion entropy, max_features 11",0.5622051154705736,4528.0,8054,121.7,192.59999999999999,40.399999999999999,41.600000000000001
